name,email,gender,GPA
Tessie LAM,tessie.lam.2014@sis.eunoia.edu.sg,F,1.11
Raymond Kong,raymond.kong.2013@sis.eunoia.edu.sg,M,1.11
Waajid Pillay,waajid.pillay.2013@business.eunoia.edu.sg,F,1.32
Scott Kong,scott.kong.2013@sis.eunoia.edu.sg,M,1.32
Nisarg Pillay,nisarg.pillay.2013@business.eunoia.edu.sg,F,1.47
Mildred LAM,mildred.lam.2013@sis.eunoia.edu.sg,F,1.51
Vivek Pillay,vivek.pillay.2010@business.eunoia.edu.sg,F,1.54
Satyanarayana Pillay,satyanarayana.pillay.2013@business.eunoia.edu.sg,F,1.54
Vinod Pillay,vinod.pillay.2011@business.eunoia.edu.sg,F,1.62
Santhanalakshmi Pillay,santhanalakshmi.pillay.2010@business.eunoia.edu.sg,F,1.62
Meeta Pillay,meeta.pillay.2013@business.eunoia.edu.sg,F,1.78
Martin Kong,martin.kong.2014@sis.eunoia.edu.sg,M,1.78
sushruth Pillay,sushruth.pillay.2011@business.eunoia.edu.sg,F,1.83
Ramani Pillay,ramani.pillay.2013@business.eunoia.edu.sg,F,1.83
Vijaya Pillay,vijaya.pillay.2013@business.eunoia.edu.sg,F,1.84
Samson Kong,samson.kong.2011@sis.eunoia.edu.sg,M,1.84
Ulaganathan Pillay,ulaganathan.pillay.2013@business.eunoia.edu.sg,F,1.88
Rosa LAM,rosa.lam.2011@sis.eunoia.edu.sg,F,1.88
Virgil Kong,virgil.kong.2013@sis.eunoia.edu.sg,M,1.89
Sarah WONG,sarah.wong.2014@law.eunoia.edu.sg,F,1.89
Tabitha LAM,tabitha.lam.2013@sis.eunoia.edu.sg,F,1.91
Randolph Kong,randolph.kong.2010@sis.eunoia.edu.sg,M,1.91
Mohan Pillay,mohan.pillay.2013@business.eunoia.edu.sg,F,1.93
Yamuna Pillay,yamuna.pillay.2010@business.eunoia.edu.sg,F,1.95
Shilpa Pillay,shilpa.pillay.2013@business.eunoia.edu.sg,F,1.95
Mike Kong,mike.kong.2012@sis.eunoia.edu.sg,M,1.96
Stephanie LAM,stephanie.lam.2014@sis.eunoia.edu.sg,F,1.97
Quentin Kong,quentin.kong.2012@sis.eunoia.edu.sg,M,1.97
Martha LAM,martha.lam.2010@sis.eunoia.edu.sg,F,1.99
Maud LAM,maud.lam.2014@sis.eunoia.edu.sg,F,2.01
Yadwinder Pillay,yadwinder.pillay.2012@business.eunoia.edu.sg,F,2.02
Sheshi Pillay,sheshi.pillay.2013@business.eunoia.edu.sg,F,2.02
Suman Pillay,suman.pillay.2013@business.eunoia.edu.sg,F,2.04
Rajaraman Pillay,rajaraman.pillay.2012@business.eunoia.edu.sg,F,2.04
Shyam Pillay,shyam.pillay.2013@business.eunoia.edu.sg,F,2.05
Pragya Pillay,pragya.pillay.2014@business.eunoia.edu.sg,F,2.05
Nell LAM,nell.lam.2013@sis.eunoia.edu.sg,F,2.05
Muriel LAM,muriel.lam.2013@sis.eunoia.edu.sg,F,2.06
Mansha Pillay,mansha.pillay.2014@business.eunoia.edu.sg,F,2.07
Vincent Fan,vincent.fan.2012@economics.eunoia.edu.sg,M,2.1
Sanjay Pillay,sanjay.pillay.2012@business.eunoia.edu.sg,F,2.1
Toby Kong,toby.kong.2014@sis.eunoia.edu.sg,M,2.11
Robert Kong,robert.kong.2011@sis.eunoia.edu.sg,M,2.11
Manas Pillay,manas.pillay.2012@business.eunoia.edu.sg,F,2.11
Siddhartha Pillay,siddhartha.pillay.2013@business.eunoia.edu.sg,F,2.14
Shreya Pillay,shreya.pillay.2011@business.eunoia.edu.sg,F,2.14
Prakash Pillay,prakash.pillay.2013@business.eunoia.edu.sg,F,2.14
Phyllis LAM,phyllis.lam.2014@sis.eunoia.edu.sg,F,2.14
Patricia LAM,patricia.lam.2014@sis.eunoia.edu.sg,F,2.14
Malathi  Pillay,malathi.pillay.2013@business.eunoia.edu.sg,F,2.14
Xavier WONG,xavier.wong.2012@law.eunoia.edu.sg,M,2.15
Shekhar Pillay,shekhar.pillay.2013@business.eunoia.edu.sg,F,2.15
Narayana Pillay,narayana.pillay.2013@business.eunoia.edu.sg,F,2.16
Sunaina Pillay,sunaina.pillay.2013@business.eunoia.edu.sg,F,2.17
Rajesh Pillay,rajesh.pillay.2014@business.eunoia.edu.sg,F,2.17
Viraj Pillay,viraj.pillay.2012@business.eunoia.edu.sg,F,2.18
Sarah LAM,sarah.lam.2011@sis.eunoia.edu.sg,F,2.18
Oliver WONG,oliver.wong.2011@law.eunoia.edu.sg,F,2.18
Willard Kong,willard.kong.2011@sis.eunoia.edu.sg,M,2.19
Wilfrid Kong,wilfrid.kong.2012@sis.eunoia.edu.sg,M,2.19
Sharmeela Pillay,sharmeela.pillay.2012@business.eunoia.edu.sg,F,2.19
Shanti Pillay,shanti.pillay.2010@business.eunoia.edu.sg,F,2.19
Mahendra Pillay,mahendra.pillay.2013@business.eunoia.edu.sg,F,2.19
Susanna LAM,susanna.lam.2013@sis.eunoia.edu.sg,F,2.21
Simon Kong,simon.kong.2013@sis.eunoia.edu.sg,M,2.21
Ramakanth Pillay,ramakanth.pillay.2013@business.eunoia.edu.sg,F,2.21
Pranav Pillay,pranav.pillay.2013@business.eunoia.edu.sg,F,2.21
Uma Pillay,uma.pillay.2013@business.eunoia.edu.sg,F,2.22
Thelma LAM,thelma.lam.2013@sis.eunoia.edu.sg,F,2.22
Sripathi Pillay,sripathi.pillay.2012@business.eunoia.edu.sg,F,2.22
Rosalia LAM,rosalia.lam.2011@sis.eunoia.edu.sg,F,2.22
Reine LAM,reine.lam.2013@sis.eunoia.edu.sg,F,2.22
Puga Pillay,puga.pillay.2013@business.eunoia.edu.sg,F,2.22
